wav_filename,wav_filesize,transcript
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/JC_ori/JC9.wav,451408,well i think what happened is i felt like i had to do everything now 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/JC_ori/JC14.wav,218352,i have this galloping gait 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/JC_ori/JC16.wav,306988,so this will be my last marathon 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/JC_ori/JC5.wav,207160,like i had a stroke 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/JC_ori/JC18.wav,215932,you know i was reading about it and 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/JC_ori/JC6.wav,186992,no i didn't 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/JC_ori/JC4.wav,215432,what's wrong with you then 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/JC_ori/JC17.wav,312072,i mean i really know nothing about a foundation till i got diagnosed and then 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/JC_ori/JC12.wav,251412,training is not going well 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/JC_ori/JC2.wav,320296,like my right leg just didn't keep up with the left leg 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ19.wav,311756,the cure may seem elusive but we're not giving up 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ7.wav,203540,it destroyed me 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ22.wav,323620,we may each have our own individual parkinson's 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ2.wav,519000,i soon learned that each patient has their own version of parkinson's their own story to tell 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ16.wav,248048,acceptance doesn't mean resignation 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ8.wav,273224,and you you dream on your way 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ21.wav,299844,we've resolved to fight this disease 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ18.wav,382704,there are over one million people living with parkinson's in the united states 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ9.wav,414456,so much of what you do is precise and about balance 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ17.wav,364348,you can accept it and then endeavor to change it 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ13.wav,300380,if you're symptomatic it's reflective of some kind of flaw 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ4.wav,307612,so how was the reaction of your family 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/SK_ori/SK8.wav,508276,this was the first out of eight siblings that had really asked me about it 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/SK_ori/SK9.wav,407284,and because i was the swimmer of the family 
