wav_filename,wav_filesize,transcript
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ19.wav,311756,the cure may seem elusive but we're not giving up 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ7.wav,203540,it destroyed me 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ22.wav,323620,we may each have our own individual parkinson's 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ2.wav,519000,i soon learned that each patient has their own version of parkinson's their own story to tell 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ16.wav,248048,acceptance doesn't mean resignation 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ8.wav,273224,and you you dream on your way 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ21.wav,299844,we've resolved to fight this disease 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ18.wav,382704,there are over one million people living with parkinson's in the united states 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ9.wav,414456,so much of what you do is precise and about balance 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ17.wav,364348,you can accept it and then endeavor to change it 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ13.wav,300380,if you're symptomatic it's reflective of some kind of flaw 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_ori/MJ_ori/MJ4.wav,307612,so how was the reaction of your family 
