wav_filename,wav_filesize,transcript
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC18.wav,215932,you know i was reading about it and 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC3.wav,230428,my husband saw me running and he said 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC7.wav,189576,we were on vacation 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC2.wav,320296,like my right leg just didn't keep up with the left leg 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC14.wav,218352,i have this galloping gait 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC15.wav,250676,i've fallen a couple times 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC4.wav,215432,what's wrong with you then 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC9.wav,451408,well i think what happened is i felt like i had to do everything now 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC16.wav,306988,so this will be my last marathon 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC5.wav,207160,like i had a stroke 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC20.wav,185520,it's really very exciting 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC11.wav,274968,just cuz i want to get it all in 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC8.wav,291592,so when we get back i finally went to the doctor 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC17.wav,312072,i mean i really know nothing about a foundation till i got diagnosed and then 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC12.wav,251412,training is not going well 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC6.wav,186992,no i didn't 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/JC_au/JC19.wav,455168,you know i just really like the the work you're doing with the base search and working with the collaboration 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ21.wav,299844,we've resolved to fight this disease 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ6.wav,358368,it's the little things like putting a cup on a saucer 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ14.wav,281184,it's not as just a pure scientific thing 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ4.wav,307612,so how was the reaction of your family 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ2.wav,519000,i soon learned that each patient has their own version of parkinson's their own story to tell 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ20.wav,500344,we face parkinson's headon with purpose reexamined and new dreams to pursue 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ9.wav,414456,so much of what you do is precise and about balance 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ22.wav,323620,we may each have our own individual parkinson's 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ16.wav,248048,acceptance doesn't mean resignation 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ8.wav,273224,and you you dream on your way 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ15.wav,272312,you're in the pharmaceutical business 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ23.wav,467884,but we all share one thing in common hope 
/home/longisland/Documents/stt/DeepSpeech/data/Faces_au/MJ_au/MJ11.wav,260724,it seems like it confers all that out of the window 
